Category,X,Y
1,1,19
1,1.5,29
1,2,39
1,2.5,49
1,3,59
1,3.5,69
1,4,79
1,4.5,89
1,5,99
1,5.5,89.5
1,6,80
1,6.5,70
1,7,59.5
1,7.5,49
1,8,39
1,8.5,29
1,9,19
1,9.5,9
1,10,0
2,1,15
2,1.5,30
2,2,45
2,2.5,60
2,3,75
2,3.5,85
2,4,85
2,4.5,85
2,5,85
2,5.5,85
2,6,85
2,6.5,85
2,7,84
2,7.5,67.6
2,8,51.2
2,8.5,34.8
2,9,18.4
2,9.5,2
2,10,0
3,1,25
3,1.5,45
3,2,65
3,2.5,85
3,3,85
3,3.5,85
3,4,85
3,4.5,85
3,5,85
3,5.5,85
3,6,85
3,6.5,85
3,7,85
3,7.5,85
3,8,71
3,8.5,50
3,9,28
3,9.5,7
3,10,0
4,1,37
4,1.5,60
4,2,85
4,2.5,85
4,3,85
4,3.5,85
4,4,85
4,4.5,85
4,5,85
4,5.5,85
4,6,85
4,6.5,85
4,7,85
4,7.5,85
4,8,85
4,8.5,65
4,9,38
4,9.5,12
4,10,0
5,1,46
5,1.5,75
5,2,85
5,2.5,85
5,3,85
5,3.5,85
5,4,85
5,4.5,85
5,5,85
5,5.5,85
5,6,85
5,6.5,85
5,7,85
5,7.5,85
5,8,85
5,8.5,79
5,9,48
5,9.5,16
5,10,0
6,1,55
6,1.5,85
6,2,85
6,2.5,85
6,3,85
6,3.5,85
6,4,85
6,4.5,85
6,5,85
6,5.5,85
6,6,85
6,6.5,85
6,7,85
6,7.5,85
6,8,85
6,8.5,85
6,9,58
6,9.5,22
6,10,0
