Entropy	packetNum	RST_Delay_Difference(s)
l	10	0.009952
h	10	0.047228
l	50	0.046112
h	50	0.229788
l	100	0.091312
h	100	0.457988
l	200	0.181712
h	200	0.914388
l	300	0.272116
h	300	1.370788
l	400	0.362516
h	400	1.827188
l	500	0.452916
h	500	2.283588
l	600	0.543316
h	600	2.739988
l	700	0.633716
h	700	3.196388
l	800	0.724116
h	800	3.652788
l	900	0.814516
h	900	4.109188
l	1000	0.904916
h	1000	4.565588
l	1100	0.995316
h	1100	5.021988
l	1200	1.085716
h	1200	5.478388
l	1300	1.176116
h	1300	5.934788
l	1400	1.266516
h	1400	6.391188
l	1500	1.356916
h	1500	6.847588
l	1600	1.447316
h	1600	7.303988
l	1700	1.537716
h	1700	7.760388
l	1800	1.628116
h	1800	8.216788
l	1900	1.718516
h	1900	8.673188
l	2000	1.808916
h	2000	9.129588
