loss_rate,p,n,capacity,entropy
0.00,10.0,100,1.0,l
0.00,20.0,50,1.0,l
0.00,30.0,33,1.0,l
0.00,40.0,25,1.0,l
0.00,10.0,100,2.0,l
0.00,20.0,50,2.0,l
0.00,30.0,33,2.0,l
0.00,40.0,25,2.0,l
0.00,10.0,100,3.0,l
0.00,20.0,50,3.0,l
0.00,30.0,33,3.0,l
0.00,40.0,25,3.0,l
0.00,10.0,100,4.0,l
0.00,20.0,50,4.0,l
0.00,30.0,33,4.0,l
0.00,40.0,25,4.0,l
0.00,10.0,100,5.0,l
0.00,20.0,50,5.0,l
0.00,30.0,33,5.0,l
0.00,40.0,25,5.0,l
0.00,10.0,100,6.0,l
0.00,20.0,50,6.0,l
0.00,30.0,33,6.0,l
0.00,40.0,25,6.0,l
0.00,10.0,100,7.0,l
0.00,20.0,50,7.0,l
0.00,30.0,33,7.0,l
0.00,40.0,25,7.0,l
0.00,10.0,100,8.0,l
0.00,20.0,50,8.0,l
0.00,30.0,33,8.0,l
0.00,40.0,25,8.0,l
0.00,10.0,100,9.0,l
0.00,20.0,50,9.0,l
0.00,30.0,33,9.0,l
0.00,40.0,25,9.0,l
0.00,10.0,100,10.0,l
0.00,20.0,50,10.0,l
0.00,30.0,33,10.0,l
0.00,40.0,25,10.0,l
90.00,10.0,100,1.0,h
90.00,20.0,50,1.0,h
86.67,30.0,33,1.0,h
90.00,40.0,25,1.0,h
90.00,10.0,100,2.0,h
85.00,20.0,50,2.0,h
90.00,30.0,33,2.0,h
87.50,40.0,25,2.0,h
90.00,10.0,100,3.0,h
90.00,20.0,50,3.0,h
86.67,30.0,33,3.0,h
82.50,40.0,25,3.0,h
80.00,10.0,100,4.0,h
70.00,20.0,50,4.0,h
83.33,30.0,33,4.0,h
72.50,40.0,25,4.0,h
80.00,10.0,100,5.0,h
85.00,20.0,50,5.0,h
73.33,30.0,33,5.0,h
75.00,40.0,25,5.0,h
50.00,10.0,100,6.0,h
70.00,20.0,50,6.0,h
66.67,30.0,33,6.0,h
62.50,40.0,25,6.0,h
40.00,10.0,100,7.0,h
50.00,20.0,50,7.0,h
50.00,30.0,33,7.0,h
45.00,40.0,25,7.0,h
0.00,10.0,100,8.0,h
5.00,20.0,50,8.0,h
0.00,30.0,33,8.0,h
5.00,40.0,25,8.0,h
0.00,10.0,100,9.0,h
0.00,20.0,50,9.0,h
0.00,30.0,33,9.0,h
0.00,40.0,25,9.0,h
0.00,10.0,100,10.0,h
0.00,20.0,50,10.0,h
0.00,30.0,33,10.0,h
0.00,40.0,25,10.0,h
